Series_reference,Period,Data_value,STATUS_status,UNITS_units,Subject_subject,Group_grp,Series_title_1,UniqueNumber
CPIQ.SE901,1932.09,14.65182447,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,74
CPIQ.SE901,1932.12,14.34377052,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,75
CPIQ.SE901,1933.03,13.99720973,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,76
CPIQ.SE901,1933.06,13.99720973,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,77
CPIQ.SE901,1933.09,14.26675684,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,78
CPIQ.SE901,1933.12,14.45929103,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,79
CPIQ.SE901,1934.03,14.69033131,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,80
CPIQ.SE901,1934.06,15.01763906,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,81
CPIQ.SE901,1934.09,14.90211854,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,82
CPIQ.SE901,1934.12,15.01763906,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,83
CPIQ.SE901,1935.03,15.80702736,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,84
CPIQ.SE901,1935.06,15.96105471,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,85
CPIQ.SE901,1935.09,15.94180167,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,86
CPIQ.SE901,1935.12,16.80820365,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,87
CPIQ.SE901,1936.03,15.98030775,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,88
CPIQ.SE901,1936.06,16.57716337,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,89
CPIQ.SE901,1936.09,16.90447036,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,90
CPIQ.SE901,1936.12,17.34729863,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,91
CPIQ.SE901,1937.03,17.63609878,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,92
